Modelo,Iteracion,Fecha,Dispositivo,TN,FP,FN,TP,Accuracy,Precision,Recall,F1-score,AUC,time
VGG16,1,20230417_031352,iPhone,15,0,5,0,0.75,0.5625,0.75,0.6428571428571428,0.8133333333333335,172.18289923667908
VGG16,1,20230417_031352,Samsung,11,0,6,2,0.6842105263157895,0.7956656346749226,0.6842105263157895,0.6233082706766918,0.7840909090909091,172.18289923667908
VGG16,2,20230417_110936,iPhone,15,0,4,1,0.8,0.8421052631578949,0.8,0.7450980392156863,0.8933333333333333,219.1017198562622
VGG16,2,20230417_110936,Samsung,7,4,3,5,0.631578947368421,0.6391812865497076,0.631578947368421,0.6336429308565531,0.6363636363636364,219.1017198562622
VGG16,3,20230417_111438,iPhone,15,0,5,0,0.75,0.5625,0.75,0.6428571428571428,0.76,168.37358140945437
VGG16,3,20230417_111438,Samsung,7,4,6,2,0.4736842105263157,0.4520917678812415,0.4736842105263157,0.4580200501253132,0.4659090909090909,168.37358140945437
VGG16,4,20230417_113059,iPhone,14,1,4,1,0.75,0.7083333333333333,0.75,0.7077922077922079,0.6933333333333334,171.65266847610474
VGG16,4,20230417_113059,Samsung,11,0,7,1,0.631578947368421,0.7748538011695907,0.631578947368421,0.5327687033676145,0.5227272727272727,171.65266847610474
VGG16,5,20230417_114406,iPhone,15,0,4,0,0.7894736842105263,0.6232686980609419,0.7894736842105263,0.696594427244582,0.4166666666666666,156.48682761192322
VGG16,5,20230417_114406,Samsung,11,0,6,0,0.6470588235294118,0.4186851211072664,0.6470588235294118,0.5084033613445379,0.5606060606060606,156.48682761192322
VGG19,1,20230417_120743,iPhone,14,1,3,2,0.8,0.784313725490196,0.8,0.7812499999999999,0.6666666666666666,189.8798747062683
VGG19,1,20230417_120743,Samsung,4,7,1,7,0.5789473684210527,0.6736842105263158,0.5789473684210527,0.5574162679425838,0.7613636363636362,189.8798747062683
VGG19,2,20230417_131918,iPhone,13,2,4,1,0.7,0.6568627450980391,0.7,0.671875,0.4933333333333333,166.411235332489
VGG19,2,20230417_131918,Samsung,5,6,5,3,0.4210526315789473,0.4298245614035087,0.4210526315789473,0.4242960342031549,0.5568181818181819,166.411235332489
VGG19,3,20230417_133707,iPhone,10,5,1,4,0.7,0.7929292929292929,0.7,0.7197802197802197,0.8,192.86112880706787
VGG19,3,20230417_133707,Samsung,10,1,7,1,0.5789473684210527,0.5510835913312694,0.5789473684210527,0.4977443609022556,0.4318181818181819,192.86112880706787
VGG19,4,20230417_142011,iPhone,11,4,2,3,0.7,0.7417582417582417,0.7,0.7142857142857142,0.7333333333333334,225.3218507766724
VGG19,4,20230417_142011,Samsung,5,6,2,6,0.5789473684210527,0.6240601503759399,0.5789473684210527,0.5742690058479533,0.5681818181818181,225.3218507766724
VGG19,5,20230417_161044,iPhone,13,2,4,0,0.6842105263157895,0.6037151702786376,0.6842105263157895,0.6414473684210527,0.4666666666666666,185.1236138343811
VGG19,5,20230417_161044,Samsung,6,5,3,3,0.5294117647058824,0.5637254901960783,0.5294117647058824,0.5394957983193277,0.4242424242424242,185.1236138343811
Xception,1,20230417_234148,iPhone,13,2,3,2,0.75,0.734375,0.75,0.7401433691756273,0.4133333333333333,182.4623599052429
Xception,1,20230417_234148,Samsung,9,2,7,1,0.5263157894736842,0.4660087719298245,0.5263157894736842,0.4625199362041467,0.4545454545454546,182.4623599052429
Xception,2,20230418_093012,iPhone,9,6,4,1,0.5,0.554945054945055,0.5,0.523809523809524,0.36,148.30425548553467
Xception,2,20230418_093012,Samsung,0,11,0,8,0.4210526315789473,0.1772853185595568,0.4210526315789473,0.2495126705653021,0.6477272727272727,148.30425548553467
Xception,3,20230418_115939,iPhone,11,4,2,3,0.7,0.7417582417582417,0.7,0.7142857142857142,0.6600000000000001,130.2955276966095
Xception,3,20230418_115939,Samsung,1,10,0,8,0.4736842105263157,0.7660818713450293,0.4736842105263157,0.3556005398110661,0.5568181818181819,130.2955276966095
Xception,4,20230418_130735,iPhone,6,9,3,2,0.4,0.5454545454545455,0.4,0.4375,0.3466666666666667,129.71807384490967
Xception,4,20230418_130735,Samsung,2,9,5,3,0.2631578947368421,0.2706766917293233,0.2631578947368421,0.2549707602339181,0.2045454545454545,129.71807384490967
Xception,5,20230418_231343,iPhone,12,3,4,0,0.631578947368421,0.5921052631578947,0.631578947368421,0.6112054329371818,0.4,186.7348735332489
Xception,5,20230418_231343,Samsung,7,4,5,1,0.4705882352941176,0.4480392156862745,0.4705882352941176,0.4580330155777726,0.4015151515151515,186.7348735332489
ResNet50V2,1,20230419_000809,iPhone,15,0,5,0,0.75,0.5625,0.75,0.6428571428571428,0.5066666666666667,224.23377633094788
ResNet50V2,1,20230419_000809,Samsung,11,0,8,0,0.5789473684210527,0.335180055401662,0.5789473684210527,0.4245614035087719,0.5454545454545454,224.23377633094788
ResNet50V2,2,20230419_105448,iPhone,15,0,5,0,0.75,0.5625,0.75,0.6428571428571428,0.72,245.15172576904297
ResNet50V2,2,20230419_105448,Samsung,11,0,8,0,0.5789473684210527,0.335180055401662,0.5789473684210527,0.4245614035087719,0.5170454545454545,245.15172576904297
ResNet50V2,3,20230420_170011,iPhone,14,1,5,0,0.7,0.5526315789473684,0.7,0.6176470588235293,0.5866666666666667,339.2603030204773
ResNet50V2,3,20230420_170011,Samsung,11,0,8,0,0.5789473684210527,0.335180055401662,0.5789473684210527,0.4245614035087719,0.5340909090909091,339.2603030204773
ResNet50V2,4,20230423_062053,iPhone,0,15,0,5,0.25,0.0625,0.25,0.1,0.5,250.02332282066345
ResNet50V2,4,20230423_062053,Samsung,0,11,0,8,0.4210526315789473,0.1772853185595568,0.4210526315789473,0.2495126705653021,0.5,250.02332282066345
ResNet50V2,5,20230423_181651,iPhone,4,11,1,3,0.3684210526315789,0.6766917293233083,0.3684210526315789,0.3859649122807017,0.3833333333333333,268.13733196258545
ResNet50V2,5,20230423_181651,Samsung,3,8,1,5,0.4705882352941176,0.6210407239819005,0.4705882352941176,0.4445820433436532,0.4848484848484848,268.13733196258545
ResNet152,1,20230423_183041,iPhone,13,2,4,1,0.7,0.6568627450980391,0.7,0.671875,0.6666666666666667,257.72766184806824
ResNet152,1,20230423_183041,Samsung,7,4,3,5,0.631578947368421,0.6391812865497076,0.631578947368421,0.6336429308565531,0.7159090909090909,257.72766184806824
